Headline,Comment
Headline 1524,"I went to the urgent care and they did a ultrasound, they said they saw the sac but couldn’t find a baby so idk if it just wasn’t far enough along yet… idk what to think ??They also did pull hcg so I will look out for that and..."
Headline 1525,I’ve had brown bloody discharge today along with very mild cramping. It’s only when I wipe & not every single time. Should I be concerned? My doctor can’t see me until next Thursday so I’m trying to easy my mind being a FTM. ????...
Headline 1526,"Helppppp. I can’t stomach any protein without throwing it up. Fish, chicken, eggs, beef, nuts, beans. The only protein thing my stomach will allow me to keep down is cheese. ???? I’ve never been able to eat beans/peas..."
Headline 1527,"I had an ultrasound in the ER at 6w5d and they told me they found 2 yolk sacs, only could see 1 fetal pole in 1 of the sacs, the other looks empty. They really didn’t explain much, and I now have a follow up ultrasound with my OB in a week and..."
Headline 1528,Here is my 6 weeks 4 days ultrasound baby had a heart rate of 124 bpm :) show me your us pics!
Headline 1529,"I'm first time pregnant, 7 weeks along, and boy have these been some of the roughest few weeks of my life. The exhaustion, insomnia, fatigue and nausea have made it impossible for me to enjoy any of my hobbies prior to being pregnant (I love..."
Headline 1530,I’m currently 10w2d and just am constantly sick and so nauseous over absolutely everything! When did these symptoms stop for you?! And is there anything that helped a lot with your sickness?
Headline 1531,I’m 7 weeks & I’ve been super agitated lately. Anyone else having mood swings?
Headline 1532,My DR hasn’t done a confirmation appointment and isn’t seeing me till my 12 week appointment. Is that normal? First timer here. I’m currently 9 weeks
Headline 1533,And I read that that is an indicator of miscarriage
Headline 1534,here's my 3D US pic from 8w2d. due 10th of May 2023 and this is my second:)
Headline 1535,"What were y’all’s hcg levels at 6 weeks? Mine at 6w2d were 18,686 then at 6w4d they went up to 27,023. Is that a good increase?"
Headline 1536,Did anyone start take aspirin?
Headline 1537,BEYOND nervous! I have my next ultrasound tomorrow to ‘confirm viability’. I had my first one when I thought I was 6w3d. They measured me at 5w6d and they could only see the gestational sac and the yolk sack. My doctor told me there’s always...
Headline 1538,"I lost 20lbs after my daughter was born in 2019, but never really lost the pooch (love that c-section scar). Now I'm second guessing whether I've always been this size or if my stomach is already expanding. I've heard that with 2nd/3rd pregnancies..."
Headline 1539,"Does this happen to any of you? After I orgasm I feel a bit of pressure, mild mild pain like cramping and I get bloated!! I’m 9w exactly today btw!"
Headline 1540,"I had a chemical pregnancy in June and then in August and have made it to 6w3d today, and I was just so glad when I went to dry heave in the toilet today! come and get me nausea!!"
Headline 1541,Do you believe in the Chinese gender chart… it’s suppose to predict a baby boy or girl based on your due date and birth day.
Headline 1542,7w5d and I don’t seem to have that extreme fatigue? Up until a day or two ago I was falling asleep at 8pm sleeping until like 8am. Now while I still feel tired during the day I find it hard to switch off at night and feel like I’m not as tired....
Headline 1543,"When did you all start showing? I’m in my 6th week and already feel like my stomach has grown (not that it was small before finding out I am pregnant) ????. I know that bloating happens, are y’all always bloated and..."
Headline 1544,Y’all I wore these lasssst week comfortably. I’m not even 7 weeks until Sunday. I’ve lost weight from not having much of an appetite. 3rd baby is no joke. ??
Headline 1545,Anyone else always have a sour taste in your mouth?
Headline 1546,Currently in my 10th week and aside from morning sickness. Ive been having excessive saliva and mucus production that makes me cough and its quite annoying. Anyone else experience this? I just usually spit it out. 😶‍🌫
Headline 1547,I am so nauseous i cant eat anything but then i am hungry all the time. Like my stomach is growling. But its so hard to take food inside my mouth. Nothing seems appetizing. I cant drink water. My mouth is so bitter and watery all the time. Husband...
Headline 1548,"I fell pregnant by accident and the dad while supportive is not going to be involved… I am genuinely excited about it all, but would love to connect with others that are going solo. Anyone out there?"
Headline 1549,"tw * mention of miscarriageI just did an ultrasound and they dated me, due May 15! I am so excited, so happy I could cry. I did have a miscarriage in May of last year, around that date actually. So finding out I was pregnant again was just super..."
Headline 1550,Lol anybody else cry when the food you’re craving isn’t in the house
Headline 1551,Has anyone experienced a low lying placenta after C-section? My sonographer said it was less likely to move up as it may be stuck to my old scar tissue. I have a more detailed placenta scan in about 8 weeks to see but it feels like a very apprehensive...
Headline 1552,Is it unsafe to sleep on your back at this point? Im 21 weeks. Sleeping on my side I get a pain between under my breast and stomach.
Headline 1553,"Our girl is measuring in the 93rd percentile for weight and arm and leg length- 1 pound 9 ounces at 23 weeks gestation! Almost 2 weeks ahead of the curve. Her dad is a giant (6'5"") and I'm not tall but I'm not short (5'6.5"").How big are your..."
Headline 1554,We have a William.  What are some W boy names?  Some that can be shorten/nickname?
Headline 1555,Boy or girl names beginning w the letter L
Headline 1556,Hey ladies have any of you experienced early colostrum production? I have been leaking since week 16 & I haven't stopped! It usually happens at night time or when I'm braless .
Headline 1557,"I have had pretty smooth sailing as far as pregnancy symptoms go.  I never once got sick and I’ve pretty much proceeded with life as normal.  But now that I’m 23 weeks, I’m finding myself absolutely exhausted.  I feel like I could sleep around..."
Headline 1558,I took Tylenol extra strength the 3rd time for today. I took unisom also so I can hopefully sleep.Can I take robituson for the cough or not smart? Fever was 99.6
Headline 1559,"Had my anatomy scan this week everything is thankfully good and baby boy is fine weight at 14 oz and moving a lot, how much are all the march babies weighing so far?"
Headline 1560,"is anyone else experiencing random dizzy spells? Especially after you eat? Any advice on what to do to help? Since its the weekend, I cannot call my doctor. I am 19 weeks 4 days."
Headline 1561,"Both with my daughter and with this pregnancy, baby can be kicking away, and the second I touch my belly to feel, the movement stops. If I lay my hand there for 5 or so minutes without moving, baby starts kicking again like baby forgot I was..."
Headline 1562,"Hi,I work 12 hour shifts but I sometimes switch from day schedule to night schedule. I actually at times prefer night schedule because there's a little more downtime. I never had a problem adjusting but now that im expecting, on my nights home..."
Headline 1563,"I’m 22 weeks pregnant with my second and never experienced this with my daughter, I feel like stomach pains kinda cramping in my abdomen, not shooting pains. i honestly don’t know how to describe it.it’s not upset stomach like I have to go to..."
Headline 1564,Anyone get the Covid booster in the second trimester? Debating if I should get it or not.
Headline 1565,"If so, do you take it a night only or mornings too? I only take mine at night and the first few weeks it worked like magic. Now I’m noticing that I start feeling bad around lunchtime and wondering if it’s wearing off and I should try to take..."
Headline 1566,This is our 3 baby and we already have a boy and a girl so i went right in on being team green and hubby supported me! Denied the genetic testing and was totally ok w waiting... well our anatomy scan is next week and im starting to feel like...
Headline 1567,Any experienced moms have good diaper bag recommendations? I would prefer one that is not a backpack (although the styles with shoulder strap and backpack strap options would be fine). What features should I be looking for specifically?
Headline 1568,I'm 23 weeks 5 days and haven't felt my baby move as much the past few days. I'm obviously getting very nervous! please tell me if you have ever had a similar experience and how everything turned out!
Headline 1569,"Hii Anyone still get a little crampy from time to time? I’m 21 weeks. I notice that like once a week I’ll feel a little crampy , down low where period cramps would be. It’s not horrible pain just like dull achey cramps. Stretching hopefully..."
Headline 1570,Ok this is my 3rd pregnancy and so far in my other pregnancies I never had this. My feet are on fire!!! Like to the touch they are hot and they just feel like I am wearing heated socks! Anyone else??
Headline 1571,"I am currently 5 weeks and 5 days along. I woke up in the middle of the night last night and when I peed I noticed a drop of bright red blood in the toilet and then ever since it’s been a constant light flow of blood, accompanied by mild period..."
Headline 1572,"STM, and I still can’t grasp the concept of not overworking myself or my body in general especially while pregnant. The husband and I deep cleaned the house today. He tackled downstairs and I tackled upstairs. I also put together a new dresser..."
Headline 1573,I had my anatomy scan today done with a tech and will be reviewed by my doctor on Monday. Does anyone know what that round thing is on his head? I didn’t notice it until I got home or I would have asked there. Is it part of the umbilical cord?
Headline 1574,Help lol I need a bra that covers back fat does that even exist?! And no underwire ??
Headline 1575,I’m 20 weeks and have been having heart palpitations all throughout the day. I didn’t have this at all with my first- I left my doctor a message but waiting to hear back. Anyone else have this!?
Headline 1576,I’ve had 2 c sections and this is my first pregnancy with placenta previa. I’m freaked out wondering if I have placenta accreta. I feel like I have a huge weight pulling on my c section scar and I’m only 17 weeks. Anyone else experience this?...
Headline 1577,"Okay, so this is weird to explain. But sometimes I get this super weird pain that feels like there’s a string attached to my belly button and my vagina. And if I stand up, it sends this weird sharp pain like the string is pulling my vagina up...."
Headline 1578,"20 week ultrasound.Gender unknown but I have a strong feeling I know.Anyone want to take any guesses? My first two were a surprise as well but this time suspense is getting to me! :)If you take a guess, let me know how you know (based off the..."
Headline 1579,First post 😬 Just wondering if anyone knows if topical Arnica oil is safe to use when pregnant? I have a stupid bruise that I need gone before my engagement party in 1 week. There as so many contradictions online. Anyone spoken to their midwife...
Headline 1580,Anyone else have this problem? My throat is starting to hurt cuz it’s dry but I’m drinking a bottle of water every 30 minutes or so.
Headline 1581,"Anyone thinking about going on a babymoon during the second trimester? If so, where are you going?I would love an all inclusive beach vacation down south but wondering if anyone has heard of potential risks like zika or anything else? BTW I..."
Headline 1582,Idk why but it’s like I sit up in a chair then bam I’m back to being tired. Like truck hit me.
Headline 1583,https://www2.hm.com/en_us/productpage.1135065002.html
Headline 1584,Has anyone who is or has had a baby had an asthma exacerbation? I’m currently on a few medications for it. After my June 21 baby it was exacerbated while postpartum to the point I could barely talk. I had gotten it under control with a steroid...
Headline 1585,Anyone else experience this? I just couldn’t lay on my back and when it was too late I was puking and super lightheaded and it just didn’t go away so had to reschedule ?? never dealt with this with my first!!
Headline 1586,I got a cervical exam because I was having  cramps and also feared my water might be leaking in short after I returned home I went to pee and since then I had this weird bloody mucus discharge...I am 22+3 is this normal pr I should freak out?
Headline 1587,These are the only 2 pictures i have from my 20wk anatomy scan. We are going to be surprised for gender but i’d like to see what everyone thinks he/she is!!! ????Second pic is from 12 week scan
Headline 1588,"I’ve had 2 anatomy scans so far, and the ultrasound tech wasn’t able to get a clear potty shot either time. I’m 23 weeks and I’ve been waiting a few days for my midwife to call and give me the results. Sooo impatient! At this point would they..."
Headline 1589,"Yesterday I had my anatomy scan and baby boy looked perfect, he even waved at us but the Dr said I have a low lying placenta. Has anyone else dealt with this? Did it go away?"
Headline 1590,Are they accurate? They are telling me girl and I’m getting all girl guesses but this looks like a boy nub.
Headline 1591,Fellow teachers - what is your due date and when do you plan on having all of your sub plans done and ready to go for when you’re on leave?My first was three weeks early so I was glad I was prepared early. Just curious as to when everyone plans...
Headline 1592,Does anyone else deal with this and what have you done to get relief from it? I’m losing my mind from the urge to constantly move my legs at night. I’ve read this is supposed to mostly happen in 3rd trimester and I’m only 18 weeks. It seems...
Headline 1593,Just for fun! ❤️❤️❤️❤️❤️❤️❤️
Headline 1594,"Hi ladies! I want to start the gym and YES, I know I can’t go crazy with it. What are your thoughts and are you guys continuing going to the gym or doing exercise at home? Any recommendations or exercises and what machines to use at the gym?Tomorrow..."
Headline 1595,"Hi all! I’m at 20 weeks and already feeling pretty uncomfortable. Just feeling like everything is stretching, getting harder and can’t really relax. I’m a ftm and not really sure what I can do to help this."
Headline 1596,Had our 20 week scan and they couldn’t tell our baby’s gender. What do you all think? We can’t wait to find out ??
Headline 1597,I'm wanting to know what tactics you used to help you mentally and physically through the transition stage without giving into an epidural
Headline 1598,I’m 19w 4 days and used the restroom right now and a little blood clot and little pink when I wiped. I have no cramps or pain however am still very concerned. Has any one else experience bleeding in second trimester? Or have any idea what this...
Headline 1599,Hey! Thanks to all of these message boards I am going to be paying less for my natera results! The cash option is WAY less than going through insurance. For horizon it is $349 and panorama it’s $249.Through our insurance natera billed us three...
Headline 1600,"My partner was married before and they have two teenage daughters. He told them the news about me last night when they came over for dinner and they took it well enough. A bit stunned but no tears or anything, which was great. Anyway, in mediation..."
Headline 1601,my may baby is nothing like my other baby! when she sleeps she usually nurses to sleep then randomly she will start trying to suck again while she's asleep. if she doesn't suck then she wakes up and screams. she doesn't take a paci either. I...
Headline 1602,My baby is 5 months with twoBottom teeth … anyone else ?
Headline 1603,Can you mamas share what foods you have introduced already?Have you introduced allergens? I’m a little worried.I’m going to do a combination of purées and BLWBaby’s first good was avocado ??Any shared stories or tips are appreciated...
Headline 1604,Hi parents!My daughter just turned 5 months on the 25th and has not rolled from belly to back or back to belly at all yet. She absolutely hates tummy time - although she has great neck control - and supermans her arms out and then slams her...
Headline 1605,"I really need help. My LO is 5.5 months and he is EBF. He used to nap just fine with me or my SO but after the 4th month regression, he will only sleep if I nurse him. My mom got here this week to help out with the daycare transition and the..."
Headline 1606,"so my girl was born with a sacral dimple so they wanted to do San ultrasound to rule out Spina bifida or somethingultrasound came back fine, nothing that they were concerned about. however, they said they found she has a cyst and to get another..."
Headline 1607,will an anti colic bottle help all the big burps or its inevitable if she won't just stay on the bottle/feed.
Headline 1608,"My daughter recently started rolling from her back to front, and last night at exactly 5 months she started immediately turning over to sleep on her belly. Is this okay?"
Headline 1609,"I feel like with my son he was meeting each and every milestone fast. But with my daughter…. Well, she came in this world doing whatever she wanted to when she wanted to do it. Like no amount of tummy time or anything will make this girl do..."
Headline 1610,Just for fun! My husband thinks my baby’s eyes are brown and I think they’re kind of a hazel color! What do you think? Last picture is my eye color for comparison.
Headline 1611,"Does your little one have screen time? If so, how many hours a day?Mine loves Miss Rachel and stays occupied when needed."
Headline 1612,let me know your favorites!!
Headline 1613,What are your go-to activities for bonding with your little one? I'm always looking for new ideas!
Headline 1614,"Our girl is 6mo on Tuesday and has been eating purées since about 5mo. She loves almost everything - except broccoli, that was an entertaining fail!How are you all moving from purées to solids? Note: she has no teeth yet.We’ve given her cucumber..."
Headline 1615,Is it normal for hr to dip down like this. Or is it even accurate. I also feel fine. I was just laying down
Headline 1616,Anyone else have “mom shoulder”?? I’m having so much shoulder pain in my dominant arm that I hold my baby. It is super inflamed. What do I do for this?
Headline 1617,"Like seriously!!! Lol I mean not only is my hair falling out but I feel like I always stink no matter if I just showered. I have never had stinky pits. I used Native deodorant and it has always worked for me, but now geesh I really feel like..."
Headline 1618,Will I ever gain the feeling back in my stomach above my incision? ?? like 4 inches above my incision the skin is numb and I cannot stand it. Anyone else like this? Am I just forever going to have a numb stomach? Lol
Headline 1619,"My 5 months old always wakes up screaming, especially during the night or in the morning. He cries really loud and sometimes I feel that he doesn’t even know that he is awake because his eyes are still shut and it takes us a lot of effort to..."
Headline 1620,has this happened to anyone else? or anyone know why this happened
Headline 1621,"Hi all! I wanted to start off by saying THANK YOU. This community has been a tremendous source of knowledge and compassion and it’s truly incredible how we have come together to support each other throughout the incredible journey of pregnancy,..."
Headline 1622,"When do we start brushing our baby’s teeth? My baby just cut his first tooth and I also plan to start solids when he turns 6 months next week. I have a finger toothbrush, can I just use that with water? Or is there some kind of baby toothpaste..."
Headline 1623,"I’ve been giving him purées but unsure when to start actual food? Like avocado, pancakes and eggs and stuff like that? I see many 6 month old eating things like these I feel like I’m behind on those type of foods. Also how do you start?"
Headline 1624,hi! my 5 month old has always been a decent sleeper and began to sleep through the night at 12 weeks (I know I know...I have no idea how it happened- she's just naturally just a good sleeper/sleepy baby). the last few nights she's been sleeping...
Headline 1625,"I’ve read so many different things online about brushing LO teeth. Once her first teeth come in, which I’m guessing will be soon because I can see her bottom front teeth under the gums, should I use toothpaste? Flouride or no flouride? If not,..."
Headline 1626,anyone have tips to get a sick baby to drink their bottles? took my son to the er last night because he only drank 5 ounces around 9 am and nothing else after that and it was already 8 pm. they gave him Zofran and he ate 6 ounces after and they...
Headline 1627,"I EBF and send milk to daycare in a stainless steel insulated tumbler everyday. At daycare it’s stored in a fridge. Somedays my girl drinks everything I send somedays there’s a few oz leftover, really depending on how many wake ups/feeds the..."
Headline 1628,"ETA: brought a tape measure with me and decided the Evenflo revolve 360 would not take any more space than my infant seat. It’s still snug and makes the front seat tight, but my 6 foot husband can still fit in the front seat in front of it.Anyone..."
Headline 1629,"Anyone have anything from this brand? The maternity leggings are half off but I already have “enough”, so I don’t want to buy unless they’re amazing.https://maventhread.com/products/maternity-exercise-pants-olive-mt-luxe"
Headline 1630,By how much I mean ounces or tablespoons and how many times a day. Thank you!
Headline 1631,The day has come that I’d like a glass of wine here and there but I wanted to know other BF mommies point of views on this and how you do it. Like when do I pump and toss? Should I toss it!?? Does it affect my breastmilk negatively? How often...
Headline 1632,"My daughter rolls around the room now and she was constantly getting into things because she prefers everything else over her toys ?? so we finally set up her “baby jail”. She seemed to like it for like 3 days, and now whenever..."
Headline 1633,How many ounces at a time does your baby drink?
Headline 1634,I just saw a tik tok from an occupational therapist talking about good toys for 6 months old. And she was saying skills they should be doing around this age is sitting unsupported for long periods and clapping ?? my daughter can...
Headline 1635,We are no longer falling asleep independently for naps/bedtime and we used to. We refuse to sleep on our belly and we use to. Now that we are back to being a back sleep self soothing has disappeared. We are waking up from night sleep screaming..we...
Headline 1636,Did anyone get PP hemorrhoids and what did you do about them? They keep coming and going and it’s getting real old!
Headline 1637,"For those who are on two naps now, can you drop your schedules?? How long are wake windows and what’re you doing to keep these babies entertained !!"
Headline 1638,My baby has had red cheeks for a few weeks. It’s usually when he wakes up from a contact nap. Today was his first day at daycare and he was dropped off with red cheeks but today now it’s more red and I’m wondering if it’s teething related or...
Headline 1639,"Anyone else's baby constantly sticking inedible objects in their mouth and not food ?She literally sucks on, or tries to eat everything in front of her, unless it's food. She will happily smash some avocado or banana or oats, but will not put..."
Headline 1640,Tubby Todd all over ointment is the only thing that seems to help my baby’s super sensitive skin but it’s SO expensive! We’ve already gone through the small size in a few weeks. Anyone have a baby with sensitive skin and found something cheaper?...
Headline 1641,Starting BLW on Friday and would love to see the meals you are serving your littles!!!
Headline 1642,My LO turned 5 months October 30th. What is your last wake window of the day looking like? Ours is 2.5 hours rn
Headline 1643,"So I will be transitioning my LO from her snoo bassinet to her crib. I prolonged it as much as I could ??. What sleep sack do you guys recommend? She’s got a bit of startle reflex, but don’t want to go weighted route. So I’ve heard..."
Headline 1644,He was a good sleeper until around 5.5 months.Now it’s waking sometimes every hour I’m going to lose my mind help
Headline 1645,My baby first rolled belly to back at like 7 weeks and did it consistently until about a month ago (at 5 months). He stopped when he learned to roll back to belly and now will roll over and act like he’s stuck and can’t roll back over. He gets...
Headline 1646,"It’s hard to see on the pics but can definitely tell it’s blood in person. I called the pediatrician and she wants me to come in this week but said if she gets a fever, fussy, or a tsp or more of blood in her poop to go to ER. She said she couldn’t..."
Headline 1647,I've been feeling kinda weird lately so I took a clear blue digital test it's said not pregnant but I opened it and there is two lines. could it be??? or is there always faint lines one digital???
Headline 1648,my baby stopped being interested in her first bottle of the day and isn't finishing any of her bottles all of a sudden. she will no problem take her bedtime bottle but every other one she won't finish. leap related ?
Headline 1649,I’ve had my period back since august and have been very regular (about every 28-29 days) and I just had my period exactly 2 weeks ago and am bleeding again. Anyone else go through this? I guess I technically would be ovulating now but I’ve never...
Headline 1650,Thoughts?
Headline 1651,Has anyone been induced with this? I thought it sounded pretty simple and my midwife said my cervix is going to be easy to induce but a friend is trying to tell me not to do it because she has heard bad things and now I am nervous.
Headline 1652,I had my baby a week ago now and have been breast feeding since. I’m really wanting to start pumping but don’t really know where to start considering I feed him on both sides every time he eats. Any advice on what to do would be much appreciated!
Headline 1653,I have an Uppa baby car seat I bought for my first and barely used it since he was born Feb 17th 2020 right when the pandemic started so it’s basically brand new. It was sitting on the bench where we put our shoes on (without the baby in it)....
Headline 1654,I did it tonight. It was so much fun lol. 39 weeks just trying to pass the time.Anyone else done this?
Headline 1655,Hi Mamas!I am in the process of drying up my supply and I think I girl bossed to close to the sun. How tight does the sports bra have to be? I was wearing two for almost 48 hour and my boobs got huge and super sore. I was popping out of the...
Headline 1656,Taking care of stitches and healing. Help please!!??
Headline 1657,Currently at home with it and noticed some leaking coming out of it even tho it’s clamped. Is this normal? She said I could have a bloody show and not to be alarmed but unsure of slight leaking from the catheter itself
Headline 1658,"i’m 3 days pp and my recovery was going super well and bleeding was already getting lighter… until I woke up this morning and saw this. I know clots can be normal, but what about this size? Is this too big? I’m so worried"
Headline 1659,"how do you feel when you read these words?dont feel so smiley.or happy and that breaks my heart..when i see articles saying enjoy your baby I feel teary because Im worried about her growth, she is gaining just slowlyalso a labor and delivery..."
Headline 1660,"We are so confused about what to have baby sleep in!We keep the temperature around 19 degrees Celsius (66.2 Fahrenheit) and have him sleeping in a nappy, singlet and long sleeve onesie with a cotton swaddle.Don’t want to overheat him but don’t..."
Headline 1661,i am 2 weeks pp & i jus peed and had green stringy discharge & im so confused ............
Headline 1662,"I feel like I prioritize baby and hubby ""prioritizes"" 15 other things that aren't me or baby. And he thinks asking how he can help means getting me a water bottle and then going back to his game or something else. like I need help raising our..."
Headline 1663,My first born (2 years old) is having a hard time adjusting to his new baby sister (1 week old). My toddler doesn’t want me to play with him and is attached to his dad. To the point if my husband leaves the room my toddler cries. If I’m feeding...
Headline 1664,Hi all!This is my 3rd c-section and by far the only c-section where I’ve felt like my recovery hasn’t gone smooth - so I’m not sure what to expect.Has anybody else experienced tightness around their incision site? It feels like a pulling or...
Headline 1665,"With my second son, I had pretty intense social anxiety during pregnancy and after he was born and I ended up getting treated for PPD. This time around, I'm actually feeling pretty good most of the time, with the exception of being overwhelmed..."
Headline 1666,How big are your clots ?
Headline 1667,My baby is 3 weeks today. For the past two days he’s been feeding every hour. It’s exhausting and I literally can barely make lunch for my five year old.How long do babies normally cluster feed for? Hoping not much more then 2-3 days ??‍??
Headline 1668,"I went in at 7pm on May 23rd, came in and was told I was only 1cm and cervix was still VERY high, got first round of cytotec at 8pm, at 12am was rechecked and was still only 1cm got second round of cytotec, at 4am was told my baby’s HR was decelerating..."
Headline 1669,"I have my c section for my twin girls scheduled tomorrow morning! I’m nervous but also super excited! I’m 36 weeks, but my doctor says the babies are big and healthy so we are hoping for no nicu time. Prayers please!"
Headline 1670,I need to start supplementing. Went on similac website and there are many options. Which one should i get?
Headline 1671,"My breast milk just came in, and my boobs are really engorged and baby is eating fine. I'm wondering if I should start pumping and saving the milk now or would that cause me to produce more than we need?"
Headline 1672,Anyone with high blood pressure had a c section? Mines usually around 140/100 and I have my c section set for tomorrow morning at 38 weeks. I’m a little nervous because of it. Anyone else or any advice?
Headline 1673,"Hi,I’m a FTM that’s 39 + 5 days. Tonight while cleaning myself after using the rest room I noticed a yellow/jelly-like mucous on the tissue. I am assuming it’s my mucous plus but there was no blood. If there’s no blood, does that mean labor..."
Headline 1674,My milk came in and even after feedings my boobs still feel full. I was thinking about pumping on one side while I feed on the other this way they are both draining. Baby is not taking a bottle only boob and plan to stay that way until I go...
Headline 1675,"Baby was due may 21st. I’ve been 2cm dilated and 60% effaced since 39 weeks. I’ve tried everything to kickstart labor - membrane sweep, miles circuit, castor oil, using the birth ball, curb walking, acupuncture… EVERYTHING. Going for a second..."
Headline 1676,Does any one know how to measure amount of formula for 3 oz of water?
Headline 1677,I’ve never had my water break on me before but I’m due Sunday and yesterday when I was done peeing and about to wipe a fish a warm liquid shot out which was a little odd but I just ruled it out as maybe I wasn’t done peeing however I’ve been...
Headline 1678,I am one week postpartum and feel 100% like myself again and really want to start working out. I hate that I have to wait five more weeks until I can. Would it be so bad if I started now with just easy stuff like walking? Or low impact things.
Headline 1679,Need reviews and or suggestions for a good pack n play
Headline 1680,"First off I just want to say I love my baby girl so much. We are officially a week postpartum.. she is the best newborn I can ask for. Never cries, always just so sweet and cuddly, breastfeeding is going great and I truly feel it’s a bonding..."
Headline 1681,Does anyone use an app to track contractions?
Headline 1682,I feel guilty over absolutely anything and everything having to do with my baby. I cry a lot over the littlest things and I just feel so emotional when it comes to her. Sometimes it’s sad/lonely and sometimes it’s worry. Is this normal a month...
Headline 1683,Curious to hear these answers! Share here :)
Headline 1684,tonight is the next day in the moon cycle - I read boys come on half moon and girls full moon! just started feeling little cramps soooo fingers crossed! my little boy has been head down & fully engaged for 3+ weeks so I'm hopeful. 39 + 2 today...
Headline 1685,"absolutely NOOOOO sign of labor! went to the doctors today and baby boy is still high up, no effacement and barely 1/2 cm dilated.i’m feeling so defeated. im tired, cranky and uncomfortable. i haven’t felt a single contraction, haven’t lost..."
Headline 1686,I’m 15 days post c section still have swelling in my feet BP is fine Dr put me on lasix and I’ve been on it 10 days. Walking around and doing anything makes it 10x worse. I’ve seen people say they have had swelling but it’s normally resolved...
Headline 1687,Graco double stroller
Headline 1688,"39 Weeks…. I went to the store originally get blueberries, strawberries, and bananas and then I started craving a pineapple. This is a whole pineapple. My mom is in town and says I have to share."
Headline 1689,My baby had a bad diaper rash for days. I use pampers pure water wipes. I’ve tried the natural route of using the earth mama diaper balm and it’s not helped at all. I tried a sample of triple paste a few times and it seems to help temporarily...
Headline 1690,Are wipe warmers really worth it?
Headline 1691,"I'm a FTM due on Wednesday!! Everybody is telling me that I'm going to go late and my body doesn't know what to do so it's going to be a long labor. It's getting kind of annoying. I expect I will go past my due date, but are there any of you..."
Headline 1692,38weeks and 1day with rainbow baby.First time Mom.He is head down and the doctor said he is as far down as he can get now until he comes out.1cm dilated for the past 3weeks. The doctor said any day now and that it's now just a waiting game....
Headline 1693,"I feel like my milk supply isn’t really the best right now and I’m in need of boosting it quick!What are the best supplements that you’ve tried?And also, what are the best foods to help boost supply as well?Open to any suggestions please!"
Headline 1694,"What’s one thing that’s not talked about during postpartum ? I’ll go first “pooping” omg. Nobody told me that it will be this hard just to poop. At first I was constipated for days, now I feel like I’m fighting for my life just to release some..."
Headline 1695,Any of you ladies due today and have had no progress? Got cervical check yesterday and was not dilated at all😩 Next appointment set for June 1st. Should I ask for an induction if baby has not arrived? Cramped for over 3 hrs last night with...
Headline 1696,Recommendation for hands free pump for on the go.
Headline 1697,"my 2 year old is very clingy the last 2 days. which is understandable cause new sister us home a week and I guess the novelty is wearing of for him. he wants to be lifted and snuggled and carried all day, but I'm not aloud lift anything heavy..."
Headline 1698,"My baby doesn’t seem to like being swaddled with arms down. I got some arms up swaddles, the love to dream is very tight on the back of his neck so it makes me nervous. I have the popular halo swaddle that I tried to wrap with his arms in and..."
Headline 1699,"Hey guys! I’m doing cabbage, Sudafed, ice packs, bra - I haven’t expressed anything since Sunday but now it’s five days later and my boobs are still hard and full. The intense engorgement has gone down, but anyone able to tell me when I’m in..."
Headline 1700,Poop question ? Seems green and stringy and thick.
Headline 1701,anyone else's 8 week old fussy with feeding and eating less?
Headline 1702,"Hi everyone, I’m looking for some optimism here. I’m 3.5 weeks pp and began to realise 3 days pp that I have low milk supply. It’s really, really hard. Baby girl is finally gaining weight as we supplement about half her milk needs with formula,..."
Headline 1703,Comments on another post inspired this question haha. My go-to is a made up song where I sing his full name to him. Other favorites are the alphabet song and a new one I’ve added is that Sound of Music Do-Re-Mi song lol. Also have a tendency...
Headline 1704,"My baby will be 8 weeks Tuesday, last 2 weeks, didn’t want to sleep during the day. She’s been sleeping literally all day today, even after sleeping 9hrs lastnight.Anyone else? I feel like I barely bonded with her today bc she slept all day??????A..."
Headline 1705,Yesterday I noticed I will get a random pain shoot through my right breast. I don’t feel a lump and I don’t have any nipple pain. Does anyone else experience this?
Headline 1706,"I’ve always taken monthly milestone photos of my babies from newborn to 1 year old with a plush animal for size comparison. I’m trying to find something cute for baby girl now. If you do the monthly photo with plushie thing, I’d love to see..."
Headline 1707,"So, for some context, baby is 2.5 months old (came at 38+1) and was delivered vaginally with vacuum. I've recently noticed what feels like a fluid bulge at the back of his head. it's more noticeable and can be felt when his head is held upright,..."
Headline 1708,Hi everyone! I’m curious to know what systems people are using to get photos off their phone and into prints. Growing up in the 90s my mom always had photo albums or boxes but those take up so much space. How are you getting physical photos...
Headline 1709,"What do you put your baby in for pjs if they are in a weighted swaddle? We have been putting just a short sleeve and no pants onesie but he gets sweaty. I don’t wanna put him in just a diaper, do you have the same problem? We have a small fan..."
Headline 1710,"Anyone else’s baby only napping for 45 min (ie the 45min intruder)?Mine used to nap great, until we hit the two month mark, and now he naps for exactly 45min and then wakes back up. I try and get him down for a part two nap, since he should..."
Headline 1711,I’m at a loss baby boy spits up a lot his clothes and swaddle get wet he has spit up in his hair and face everytime he wakes up from a napHe’s drinking puramino formula but I’m thinking of changing itHow are you handling the spit up
